Date,oil Price,Usd,Kospi,gold,open,high,low,close,volume,value
2018-05-28,73.37,1078.18,2465,1297.2,8182000,8261000,7858000,7903000,5922.3265806,47889340054
2018-05-29,72.91,1075.41,2476.7,1302.8,7903000,8360000,7813000,8299000,6682.6170425,54079954311
2018-05-30,73.73,1084.67,2446.81,1303.1,8300000,8436000,8100000,8207000,6755.1105765,56062998960
2018-05-31,75.18,1076.79,2428.83,1306,8198000,8375000,8110000,8282000,4978.1288029,41199561909
2018-06-01,74.25,1080.74,2419.63,1303,8278000,8370000,8139000,8282000,3751.3737192,30985647856
2018-06-02,,,,,8282000,8425000,8211000,8339000,3557.4419833,29631281616
2018-06-03,,,,,8338000,8443000,8297000,8419000,3755.9393778,31491017082
2018-06-04,73.57,1072.26,2444.62,1296.7,8419000,8477000,8206000,8248000,3615.5420086,30073576204
2018-06-05,72.8,1070.33,2450.39,1296.4,8241000,8400000,8130000,8360000,3715.3979581,30574008153
2018-06-06,73.07,1071.79,,1300.6,8359000,8400000,8208000,8359000,3334.0305802,27751918927
2018-06-07,73.63,1066.63,2468.26,1300.9,8358000,8490000,8330000,8375000,3432.4392342,28772117047
2018-06-08,74.23,1072.61,2467.88,1301.3,8375000,8385000,8268000,8341000,2685.9390192,22361068529
2018-06-09,,,,,8341000,8370000,8205000,8233000,1658.3938385,13807141637
2018-06-10,,,,,8233000,8247000,7425000,7576000,7445.1511226,58198185182
2018-06-11,73.97,1075,2454.25,1303.5,7576000,7662000,7362000,7635000,4309.230986,32342844909
2018-06-12,74.12,1076.88,2474.78,1304.5,7635000,7685000,7270000,7350000,5044.2464814,37952946026
2018-06-13,73.36,1081.68,,1299.6,7350000,7390000,6951000,7040000,4943.2405019,35453527846
2018-06-14,73.81,1086.17,2450.86,1303.1,7039000,7380000,6977000,7355000,6511.9470463,46891272332
2018-06-15,72.8,1089.15,2432.18,1303.1,7363000,7399000,7151000,7180000,3302.0891603,24092415997
2018-06-16,,,,,7180000,7336000,7116000,7277000,2031.2286093,14662383633
2018-06-17,,,,,7275000,7329000,7206000,7218000,1502.4229284,10927666174
2018-06-18,71.1,1102.79,2404.68,1281.1,7231000,7550000,7135000,7461000,3050.8529682,22285457937
2018-06-19,71.88,1103.51,2373.12,1280.7,7461000,7649000,7370000,7553000,3830.0125088,28804682229
2018-06-20,72.49,1111.89,2350.24,1277.3,7553000,7594000,7110000,7538000,5808.1731322,42569533207
2018-06-21,70.96,1109.98,2364.16,1269.7,7538000,7580000,7445000,7511000,3078.5143337,23106255437
2018-06-22,71.89,1110.55,2323.08,1268.6,7511000,7537000,6870000,6962000,6852.5689439,49553362438
2018-06-23,,,,,6965000,7100000,6845000,7030000,3078.6899393,21493652923
2018-06-24,,,,,7030000,7144000,6622000,6992000,5399.2664992,36910107014
2018-06-25,72.16,1111.9,2351.89,1272.2,6985000,7129000,6861000,7036000,4418.7585499,30892837730
2018-06-26,72.69,1115.47,2334.75,1267.3,7034000,7070000,6861000,6900000,3141.5384194,21953994619
2018-06-27,74.31,1118.66,2349.38,1260.5,6894000,6970000,6830000,6925000,3051.0194777,21055052322
2018-06-28,74.86,1123.24,2327.37,1253.6,6925000,6965000,6649000,6682000,2655.9486192,18234794915
2018-06-29,75.68,1121.63,2325.68,1249.5,6671000,7078000,6590000,6958000,3607.7585425,24293395793
2018-06-30,,,,,6958000,7290000,6950000,7164000,5213.7982893,37267746906
2018-07-01,,,,,7164000,7212000,7002000,7109000,3151.1044815,22440527345
2018-07-02,75.61,1115.01,2322.23,1253.4,7109000,7358000,7024000,7297000,5925.8539914,42865998436
2018-07-03,74.96,1118.88,2285.88,1242.9,7289000,7399000,7231000,7298000,5239.8175358,38445121264
2018-07-04,75.38,1115.14,2270.95,1257.7,7298000,7500000,7104000,7329000,4984.7018287,36427212533
2018-07-05,75.21,1116.25,2264.74,1257.8,7329000,7445000,7270000,7377000,4272.3385503,31508927550
2018-07-06,74.5,1119.15,2261.44,1258.4,7377000,7488000,7282000,7480000,5355.9876653,39581194329
2018-07-07,,,,,7480000,7638000,7361000,7550000,2077.5920436,15484116512
2018-07-08,,,,,7564000,7585000,7450000,7516000,2801.1619362,21068399562
2018-07-09,75.23,1115.44,2276.92,1255.7,7515000,7623000,7451000,7474000,3713.6197581,27893238458
2018-07-10,76.34,1113.12,2299.09,1258.5,7474000,7518000,7127000,7140000,5199.6047618,38071008837
2018-07-11,74.4,1114.43,2277.22,1256.7,7141000,7269000,7110000,7226000,3913.795349,28194990186
2018-07-12,72.15,1128.23,2285.93,1242.3,7227000,7230000,6941000,7090000,3724.828525,26333567342
2018-07-13,72.15,1124.72,2293.07,1247.7,7094000,7165000,6973000,7054000,3729.9599429,26379295131
2018-07-14,,,,,7054000,7160000,7036000,7109000,1978.798002,14008581892
2018-07-15,,,,,7109000,7226000,7088000,7178000,2385.7092975,17095281209
2018-07-16,71.9,1129.82,2312.26,1241,7179000,7468000,7140000,7454000,6215.7933394,45460277465
2018-07-17,70.38,1128.64,2302.95,1240.8,7454000,8140000,7419000,8080000,8866.8166953,68446683084
